order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-07112,2022-01-01,2022,Q1,1,January,Europe,France,Electronics,Smartphones,Consumer,6,472.07,2832.42,1587.08,1245.34,43.97
ORD-00639,2022-01-01,2022,Q1,1,January,Europe,France,Clothing,Shoes,Consumer,10,207.19,2071.9,1313.89,758.01,36.59
ORD-01781,2022-01-01,2022,Q1,1,January,Latin America,Colombia,Office Supplies,Notebooks,Consumer,9,228.46,2056.14,1457.35,598.79,29.12
ORD-06207,2022-01-01,2022,Q1,1,January,Latin America,Colombia,Electronics,Tablets,Corporate,7,408.49,2859.43,1958.34,901.09,31.51
ORD-09437,2022-01-01,2022,Q1,1,January,North America,Mexico,Electronics,Smartphones,Consumer,3,1042.19,3126.57,1847.72,1278.85,40.9
ORD-06101,2022-01-01,2022,Q1,1,January,Europe,UK,Clothing,Jackets,Corporate,10,37.89,378.9,194.73,184.17,48.61
ORD-05140,2022-01-01,2022,Q1,1,January,North America,USA,Furniture,Chairs,Consumer,7,1160.21,8121.47,5250.44,2871.03,35.35
ORD-06951,2022-01-01,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Pens,Corporate,3,108.62,325.86,213.3,112.56,34.54
ORD-05281,2022-01-01,2022,Q1,1,January,Latin America,Brazil,Electronics,Accessories,Consumer,4,642.77,2571.08,1576.11,994.97,38.7
ORD-07164,2022-01-01,2022,Q1,1,January,Asia Pacific,Japan,Clothing,Shirts,Consumer,6,423.39,2540.34,1337.8,1202.54,47.34
ORD-07191,2022-01-01,2022,Q1,1,January,North America,Mexico,Clothing,Jackets,Corporate,2,163.22,326.44,193.41,133.03,40.75
ORD-03056,2022-01-01,2022,Q1,1,January,Asia Pacific,China,Clothing,Shirts,Corporate,7,349.39,2445.73,1583.41,862.32,35.26
ORD-04908,2022-01-01,2022,Q1,1,January,Latin America,Colombia,Electronics,Accessories,Home Office,4,468.08,1872.32,971.22,901.1,48.13
ORD-05298,2022-01-02,2022,Q1,1,January,Europe,UK,Furniture,Shelves,Consumer,5,1223.99,6119.95,4698.24,1421.71,23.23
ORD-06308,2022-01-02,2022,Q1,1,January,North America,Mexico,Electronics,Laptops,Consumer,1,1686.4,1686.4,1297.06,389.34,23.09
ORD-08614,2022-01-02,2022,Q1,1,January,Latin America,Colombia,Clothing,Shirts,Home Office,8,454.19,3633.52,2008.61,1624.91,44.72
ORD-02248,2022-01-02,2022,Q1,1,January,North America,Canada,Furniture,Sofas,Corporate,9,719.14,6472.26,4168.99,2303.27,35.59
ORD-09614,2022-01-02,2022,Q1,1,January,Latin America,Colombia,Office Supplies,Pens,Home Office,7,197.2,1380.4,733.8,646.6,46.84
ORD-09461,2022-01-02,2022,Q1,1,January,Latin America,Argentina,Clothing,Shoes,Home Office,9,83.71,753.39,429.12,324.27,43.04
ORD-05769,2022-01-02,2022,Q1,1,January,North America,USA,Furniture,Sofas,Consumer,2,994.36,1988.72,1467.08,521.64,26.23
ORD-02473,2022-01-02,2022,Q1,1,January,Latin America,Argentina,Electronics,Accessories,Consumer,6,1546.73,9280.38,6738.12,2542.26,27.39
ORD-00549,2022-01-02,2022,Q1,1,January,Latin America,Colombia,Furniture,Chairs,Consumer,6,967.63,5805.78,4254.5,1551.28,26.72
ORD-09407,2022-01-03,2022,Q1,1,January,Europe,Spain,Office Supplies,Pens,Consumer,2,222.94,445.88,248.28,197.6,44.32
ORD-06974,2022-01-03,2022,Q1,1,January,North America,Mexico,Furniture,Sofas,Consumer,4,251.02,1004.08,614.55,389.53,38.79
ORD-07542,2022-01-03,2022,Q1,1,January,Europe,Spain,Electronics,Accessories,Consumer,4,1569.32,6277.28,3442.81,2834.47,45.15
ORD-09173,2022-01-03,2022,Q1,1,January,Asia Pacific,Japan,Furniture,Chairs,Corporate,4,441.22,1764.88,1297.13,467.75,26.5
ORD-05124,2022-01-03,2022,Q1,1,January,Europe,Germany,Office Supplies,Notebooks,Home Office,4,119.79,479.16,378.43,100.73,21.02
ORD-01943,2022-01-03,2022,Q1,1,January,Europe,Spain,Office Supplies,Pens,Consumer,10,235.97,2359.7,1531.37,828.33,35.1
ORD-05417,2022-01-04,2022,Q1,1,January,Asia Pacific,India,Furniture,Shelves,Corporate,3,872.6,2617.8,1341.19,1276.61,48.77
ORD-03296,2022-01-04,2022,Q1,1,January,North America,Mexico,Office Supplies,Printers,Corporate,4,54.76,219.04,139.62,79.42,36.26
ORD-00980,2022-01-04,2022,Q1,1,January,North America,USA,Clothing,Jackets,Corporate,7,334.17,2339.19,1289.34,1049.85,44.88
ORD-07143,2022-01-04,2022,Q1,1,January,Europe,France,Electronics,Accessories,Home Office,3,398.48,1195.44,724.27,471.17,39.41
ORD-04340,2022-01-04,2022,Q1,1,January,Asia Pacific,India,Electronics,Laptops,Home Office,7,888.77,6221.39,4505.76,1715.63,27.58
ORD-06453,2022-01-04,2022,Q1,1,January,North America,Mexico,Furniture,Desks,Consumer,9,523.7,4713.3,3035.11,1678.19,35.61
ORD-09038,2022-01-04,2022,Q1,1,January,Latin America,Colombia,Furniture,Chairs,Home Office,10,568.79,5687.9,3960.76,1727.14,30.37
ORD-08849,2022-01-04,2022,Q1,1,January,Latin America,Brazil,Clothing,Pants,Consumer,10,135.66,1356.6,757.98,598.62,44.13
ORD-08224,2022-01-04,2022,Q1,1,January,Asia Pacific,India,Furniture,Chairs,Consumer,8,337.71,2701.68,1639.01,1062.67,39.33
ORD-02038,2022-01-05,2022,Q1,1,January,North America,USA,Clothing,Jackets,Consumer,2,228.31,456.62,234.52,222.1,48.64
ORD-05119,2022-01-05,2022,Q1,1,January,Latin America,Colombia,Electronics,Smartphones,Home Office,9,1607.91,14471.19,8467.35,6003.84,41.49
ORD-07722,2022-01-05,2022,Q1,1,January,Latin America,Brazil,Electronics,Accessories,Home Office,3,1717.78,5153.34,2689.98,2463.36,47.8
